SOURCE,SOURCEID,OBJECTID,VENUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,CAPACITY,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,URL,NAME2,NAME3,FORMERNM,STARTDATE,COMPLAINTS,ORDERS,COMPLAINT_ORDER_FACTOR,SOURCE_SYSTEM
Sterling Commerce,93848,206,242,WRIGLEY FIELD CHICAGO INC,1062 WEST ADDISON STREET,CHICAGO,IL,60613,4397,(800) 843-2827,SINGLE USE,OPEN,41160,COOK,27031,USA,41.94806003,-87.65564994,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.mlb.com/cubs/ballpark/,,,,2010-06-01,5,7,86,Salesforce
Sterling Commerce,47465,272,385,INDIANAPOLIS MOTOR SPEEDWAY,4790 WEST 16TH STREET,INDIANAPOLIS,IN,46222,2550,(317) 492-8500,MULTIUSE,OPEN,257325,MARION,41047,USA,39.7949,-86.23485,711212,RACETRACKS,https://www.indianapolismotorspeedway.com/,,,,2013-04-01,3,5,60,Salesforce
Sterling Commerce,SCC_3217,25,47,GULFSTREAM PARK WEST,21001 NW 27TH AVE,MIAMI GARDENS,FL,33056,,(305) 625-1311,SINGLE USE,OPEN,15000,MIAMI-DADE,12086,USA,25.9701579,-80.24102255,711212,RACETRACKS,http://www.gulfstreampark.com/racing/news-details/2017/10/02/racing-shifts-to-gulfstream-west-wednesday-oct.-4,CALDER CASINO AND RACE COURSE,,CALDER RACE TRACK,2015-06-01,2,3,67,Salesforce
Sterling Commerce,SCC_3757,31,53,FIRSTENERGY STADIUM,100 ALFRED LERNER WAY,CLEVELAND,OH,44114,,(440) 891-5001,SINGLE USE,OPEN,67895,CUYAHOGA,39035,USA,41.50602531,-81.69957248,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://firstenergystadium.com/,,,CLEVELAND BROWNS STADIUM,2016-10-01,1,4,50,Salesforce
Sterling Commerce,SCC_1168,33,55,PAUL BROWN STADIUM,1 PAUL BROWN STADIUM,CINCINNATI,OH,45202,3418,(513) 455-4800,SINGLE USE,OPEN,65515,HAMILTON,20075,USA,39.09546,-84.51605,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.bengals.com/stadium/,,,,2017-05-01,1,3,67,Salesforce
Sterling Commerce,SCC_2633,34,383,HEINZ FIELD,100 ART ROONEY AVENUE,PITTSBURGH,PA,15212,,(412) 697-7150,MULTIUSE,OPEN,65500,ALLEGHENY,42003,USA,40.44672999,-80.01574004,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://heinzfield.com/stadium/,,,,2016-01-01,1,4,50,Salesforce
Sterling Commerce,SCC_2285,36,58,LUCAS OIL STADIUM,500 SOUTH CAPITOL AVENUE,INDIANAPOLIS,IN,46225,,(317) 262-8600,SINGLE USE,OPEN,62421,MARION,41047,USA,39.76005949,-86.1635383,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.lucasoilstadium.com/,,,,2017-05-01,1,3,67,Salesforce
Sterling Commerce,SCC_4049,44,66,AT&T STADIUM,1 LEGENDS WAY,ARLINGTON,TX,76011,,(817) 892-4000,SINGLE USE,OPEN,80000,TARRANT,48439,USA,32.74779903,-97.09302827,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://attstadium.com/,,,COWBOYS STADIUM,2018-03-01,1,4,50,Salesforce
Sterling Commerce,SCC_4177,45,67,METLIFE STADIUM,1 METLIFE STADIUM DRIVE,EAST RUTHERFORD,NJ,7073,,(201) 559-1515,MULTIUSE,OPEN,82500,BERGEN,34003,USA,40.81353862,-74.07439241,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.metlifestadium.com/,,,NEW MEADOWLANDS STADIUM,2018-05-01,1,3,67,Salesforce
Sterling Commerce,SCC_4349,46,373,LINCOLN FINANCIAL FIELD,1020 PATTISON AVENUE,PHILADELPHIA,PA,19148,,(215) 667-6100,MULTIUSE,OPEN,68532,PHILADELPHIA,42101,USA,39.90078,-75.16743,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.lincolnfinancialfield.com/,,,,2018-01-01,1,3,67,Salesforce
