POSCustomerID,CustomerName,Phone,POSSellingPointID,SkidID,SourceName,InternalCustomerID,InternalSellingPointID,SellingPointName,SellingPointStartDate,SellingPointEndDate,UnitsSold,ADDRESS,CITY,STATE,ZIP,SOURCE,SkidDeliveryDateTime
93848,WRIGLEY FIELD CHICAGO INC,(800) 843-2827,93848.SPA092,MD001PL01K50L07012020MD001Keg50Liter_P001,Micros,C001,C001_SP01,NW - Beer Stand 1,2020-07-18,2020-07-19,20,1062 WEST ADDISON STREET,CHICAGO,IL,60613,POS,2020-07-26T10:30:00
93848,WRIGLEY FIELD CHICAGO INC,(800) 843-2827,93848.SPA092,MD001PL01K50L07012020MD001Keg50Liter_P002,Micros,C001,C001_SP01,NW - Beer Stand 1,2020-07-25,2020-08-01,16,1062 WEST ADDISON STREET,CHICAGO,IL,60613,POS,2020-07-25T11:30:00
93848,WRIGLEY FIELD CHICAGO INC,(800) 843-2827,93848.H12F,MD001PL01K50L07012020MD001Keg50Liter_P003,Micros,C001,C001_SP02,NE - Beer Stand 2,2020-07-18,2020-07-18,19,1062 WEST ADDISON STREET,CHICAGO,IL,60613,POS,2020-07-28T18:30:00
93848,WRIGLEY FIELD CHICAGO INC,(800) 843-2827,93848.GHH09,MD001PL01K50L07012020MD001Keg50Liter_P004,Micros,C001,C001_SP03,SE - Beer Stand 3,2020-07-18,2020-07-18,18,1062 WEST ADDISON STREET,CHICAGO,IL,60613,POS,2020-07-28T19:00:00
93848,WRIGLEY FIELD CHICAGO INC,(800) 843-2827,93848.UID310,MD001PL01K50L07012020MD001Keg50Liter_P005,Micros,C001,C001_SP04,SW - Beer Stand 4,2020-07-18,2020-07-18,12,1062 WEST ADDISON STREET,CHICAGO,IL,60613,POS,2020-07-28T19:30:00
47465,INDIANAPOLIS MOTOR SPEEDWAY,(317) 492-8500,47465.B,MD001PL01K50L07012020MD001Keg50Liter_P006,Micros,C002,,Redline Beer Garden,2020-07-18,2020-07-18,16,4790 WEST 16TH STREET,INDIANAPOLIS,IN,46222,POS,2020-07-28T20:30:00
47465,INDIANAPOLIS MOTOR SPEEDWAY,(317) 492-8500,47465.A,MD001PL01K50L07012020MD001Keg50Liter_P007,Micros,C002,,Pitstop Beer Tent,2020-07-18,2020-07-18,14,4790 WEST 16TH STREET,INDIANAPOLIS,IN,46222,POS,2020-07-27T21:00:00
47465,INDIANAPOLIS MOTOR SPEEDWAY,(317) 492-8500,47465.A,MD001PL01K50L07012020MD001Keg50Liter_P008,Micros,C002,,Pitstop Beer Tent,2020-07-18,2020-07-18,12,4790 WEST 16TH STREET,INDIANAPOLIS,IN,46222,POS,2020-07-28T20:30:00
47465,INDIANAPOLIS MOTOR SPEEDWAY,(317) 492-8500,47465.B,MD001PL01K50L07012020MD001Keg50Liter_P009,Micros,C002,,Redline Beer Garden,2020-07-18,2020-07-18,20,4790 WEST 16TH STREET,INDIANAPOLIS,IN,46222,POS,2020-07-26T11:30:00
47465,INDIANAPOLIS MOTOR SPEEDWAY,(317) 492-8500,47465.B,MD001PL01K50L07012020MD001Keg50Liter_P010,Micros,C002,,Redline Beer Garden,2020-07-18,2020-07-18,19,4790 WEST 16TH STREET,INDIANAPOLIS,IN,46222,POS,2020-07-27T12:30:00
