ID,Name,EntityType,EntitySubType,RelationshipName,RelatedTo,RelatedTo_EntityType,sendsTo_Relation1,sendsTo_EntityType_Relation1,sendsTo_Relation2,sendsTo_EntityType_Relation2,Supplier,LotNumber,DeliveryDate,Quantity,UOM,StoredIn,SourceName,CreateDate,MeasurementType,Measurement_Description,Measurement_Unit
C0152,Good Beer Company,Company,,,,,,,,,,,,,,,SAP,,Moisture,Moisture Level,PERCENT
P89384,Charleston Plant,Plant,,part_of,C0152,Company,,,,,,,,,,,SAP,,pHLevel,pH Level,PH
P41092,Austin Plant,Plant,,part_of,C0152,Company,,,,,,,,,,,Oracle,,Carbon_Dioxide,Carbon Dioxide,PERCENT
P71056,Chicago Plant,Plant,,part_of,C0152,Company,,,,,,,,,,,SAP,,Alcohol,Alcohol Level,PERCENT
W001,Charleston Warehouse 01,Warehouse,,part_of,P89384,Plant,,,,,,,,,,,Manhattan,,Temperature,Temperature,FAHRENHEIT
W002,Charleston Warehouse 02,Warehouse,,part_of,P89384,Plant,,,,,,,,,,,Manhattan,,Humidity,Humidity Level,PERCENT
W003,Austin Warehouse 01,Warehouse,,part_of,P41092,Plant,,,,,,,,,,,Manhattan,,Humidity,Humidity Level,PERCENT
W004,Chicago Warehouse 01,Warehouse,,part_of,P71056,Plant,,,,,,,,,,,Manhattan,,Humidity,Humidity Level,PERCENT
WT01,Water Tank 01,WaterTank,,part_of,P89384,Plant,,,,,,,,,,,Manhattan,,,,
SGS01,Charleston Spent Grain Silo 01,Silo,,part_of,P89384,Plant,,,,,,,,,,,Manhattan,,,,
WT02,Water Tank (Austin),WaterTank,,part_of,P41092,Plant,,,,,,,,,,,Manhattan,,,,
SGS02,Austin Spent Grain Silo,Silo,,part_of,P41092,Plant,,,,,,,,,,,Manhattan,,,,
PL01,Production Line 1 (CHS),ProductionLine,,part_of,P89384,Plant,,,,,,,,,,,SAP,,,,
PL02,Production Line 2 (CHS),ProductionLine,,part_of,P89384,Plant,,,,,,,,,,,SAP,,,,
PL03,Production Line 1 (AUS),ProductionLine,,part_of,P41092,Plant,,,,,,,,,,,Oracle,,,,
MM01,Malting Mill 1,Mill,,,,,ML01,Masher,,,,,,,,,SAP,,,,
ML01,Mashing & Lautering Unit 1,Masher,,,,,B01,Boiler,SGS01,Silo,,,,,,,SAP,,,,
B01,Boiler 1,Boiler,,,,,WP01,Whirlpool,,,,,,,,,SAP,,,,
WP01,Whirlpool 1,Whirlpool,,,,,CLR01,Cooler,,,,,,,,,SAP,,,,
CLR01,Cooler 1,Cooler,,,,,FR01,Fermenter,FR02,Fermenter,,,,,,,SAP,,,,
FR01,Fermenter 1,Fermenter,,,,,MV01,MaturingVat,,,,,,,,,SAP,,,,
FR02,Fermenter 2,Fermenter,,,,,MV02,MaturingVat,,,,,,,,,SAP,,,,
MV01,Maturing Vat 1,MaturingVat,,,,,FL01,FiltrationSystem,,,,,,,,,SAP,,,,
MV02,Maturing Vat 2,MaturingVat,,,,,FL01,FiltrationSystem,,,,,,,,,SAP,,,,
FL01,Filter 1,FiltrationSystem,,,,,KF01,KegFiller,,,,,,,,,SAP,,,,
KF01,Keg Filler 1,KegFiller,,output,MD001PL01K50L07012020,Production_Output,,,,,,,,,,,SAP,,,,
MM02,Malting Mill 2,Mill,,,,,ML02,Masher,,,,,,,,,SAP,,,,
ML02,Mashing & Lautering Unit 2,Masher,,,,,B02,Boiler,SGS01,Silo,,,,,,,SAP,,,,
B02,Boiler 2,Boiler,,,,,WP02,Whirlpool,,,,,,,,,SAP,,,,
WP02,Whirlpool 2,Whirlpool,,,,,CLR02,Cooler,,,,,,,,,SAP,,,,
CLR02,Cooler 2,Cooler,,,,,FR03,Fermenter,FR04,Fermenter,,,,,,,SAP,,,,
FR03,Fermenter 3,Fermenter,,,,,MV03,MaturingVat,,,,,,,,,SAP,,,,
FR04,Fermenter 4,Fermenter,,,,,MV04,MaturingVat,,,,,,,,,SAP,,,,
MV03,Maturing Vat 3,MaturingVat,,,,,FL02,FiltrationSystem,,,,,,,,,SAP,,,,
MV04,Maturing Vat 4,MaturingVat,,,,,FL02,FiltrationSystem,,,,,,,,,SAP,,,,
FL02,Filter 2,FiltrationSystem,,,,,KF02,KegFiller,,,,,,,,,SAP,,,,
KF02,Keg Filler 2,KegFiller,,,,,,,,,,,,,,,SAP,,,,
MM03,Malting Mill 1 (AUS),Mill,,,,,ML03,Masher,,,,,,,,,SAP,,,,
ML03,Mashing & Lautering Unit 3,Masher,,,,,B03,Boiler,SGS02,Silo,,,,,,,SAP,,,,
B03,Boiler 3,Boiler,,,,,WP03,Whirlpool,,,,,,,,,SAP,,,,
WP03,Whirlpool 3,Whirlpool,,,,,CLR03,Cooler,,,,,,,,,SAP,,,,
CLR03,Cooler 3,Cooler,,,,,FR04,Fermenter,FR05,Fermenter,,,,,,,SAP,,,,
FR04,Fermenter 4,Fermenter,,,,,MV05,MaturingVat,,,,,,,,,SAP,,,,
FR05,Fermenter 5,Fermenter,,,,,MV06,MaturingVat,,,,,,,,,SAP,,,,
MV05,Maturing Vat 5,MaturingVat,,,,,FL03,FiltrationSystem,,,,,,,,,SAP,,,,
MV06,Maturing Vat 6,MaturingVat,,,,,FL03,FiltrationSystem,,,,,,,,,SAP,,,,
FL03,Filter 3,FiltrationSystem,,,,,KF03,KegFiller,,,,,,,,,SAP,,,,
KF03,Keg Filler 3,KegFiller,,,,,,,,,,,,,,,SAP,,,,
MS01,Moisture Sensor 1,Sensor,Moisture Sensor,monitors,MM01,Mill,,,,,,,,,,,ABB,,,,
WPHS01,Wort pH Sensor 1,Sensor,Wort pH Sensor,monitors,ML01,Masher,,,,,,,,,,,Bosch,,,,
TS001,Temperature Sensor 1,Sensor,Temperature Sensor,monitors,ML01,Masher,,,,,,,,,,,Siemens,,,,
TS002,Temperature Sensor 2,Sensor,Temperature Sensor,monitors,B01,Boiler,,,,,,,,,,,Siemens,,,,
TS003,Temperature Sensor 3,Sensor,Temperature Sensor,monitors,CLR01,Cooler,,,,,,,,,,,Siemens,,,,
TS004,Temperature Sensor 4,Sensor,Temperature Sensor,monitors,FR01,Fermenter,,,,,,,,,,,Siemens,,,,
TS005,Temperature Sensor 5,Sensor,Temperature Sensor,monitors,MV01,MaturingVat,,,,,,,,,,,Siemens,,,,
TS006,Temperature Sensor 6,Sensor,Temperature Sensor,monitors,FR02,Fermenter,,,,,,,,,,,Siemens,,,,
TS007,Temperature Sensor 7,Sensor,Temperature Sensor,monitors,MV02,MaturingVat,,,,,,,,,,,Siemens,,,,
TS008,Temperature Sensor 8,Sensor,Temperature Sensor,monitors,P89384,Plant,,,,,,,,,,,Siemens,,,,
TS009,Temperature Sensor 9,Sensor,Temperature Sensor,monitors,W001,Warehouse,,,,,,,,,,,Siemens,,,,
TS010,Temperature Sensor 10,Sensor,Temperature Sensor,monitors,W002,Warehouse,,,,,,,,,,,Siemens,,,,
TS011,Temperature Sensor 11,Sensor,Temperature Sensor,monitors,TRK002,Truck,,,,,,,,,,,,,,,
HS001,Humidity Sensor 1,Sensor,Humidity Sensor,monitors,P89384,Plant,,,,,,,,,,,Emerson,,,,
HS002,Humidity Sensor 2,Sensor,Humidity Sensor,monitors,W001,Warehouse,,,,,,,,,,,Emerson,,,,
HS003,Humidity Sensor 3,Sensor,Humidity Sensor,monitors,W002,Warehouse,,,,,,,,,,,Emerson,,,,
AS001,Alcohol Sensor 1,Sensor,Alcohol Sensor,monitors,FR01,Fermenter,,,,,,,,,,,ABB,,,,
AS002,Alcohol Sensor 2,Sensor,Alcohol Sensor,monitors,MV01,MaturingVat,,,,,,,,,,,ABB,,,,
AS003,Alcohol Sensor 3,Sensor,Alcohol Sensor,monitors,FR02,Fermenter,,,,,,,,,,,ABB,,,,
AS004,Alcohol Sensor 4,Sensor,Alcohol Sensor,monitors,MV02,MaturingVat,,,,,,,,,,,ABB,,,,
CO2S001,CO2 Sensor 1,Sensor,CO2 Sensor,monitors,FR01,Fermenter,,,,,,,,,,,Bosch,,,,
CO2S002,CO2 Sensor 2,Sensor,CO2 Sensor,monitors,MV01,MaturingVat,,,,,,,,,,,Bosch,,,,
CO2S003,CO2 Sensor 3,Sensor,CO2 Sensor,monitors,FR02,Fermenter,,,,,,,,,,,Bosch,,,,
CO2S004,CO2 Sensor 4,Sensor,CO2 Sensor,monitors,MV02,MaturingVat,,,,,,,,,,,Bosch,,,,
WTS001,Water Tank Level Sensor,Sensor,Water Tank Level Sensor,monitors,WT01,WaterTank,,,,,,,,,,,Siemens,,,,
