ID,Name,EntityType,RelationshipName,RelatedTo,RelatedTo_EntityType,sendsTo_Relation1,sendsTo_EntityType_Relation1,sendsTo_Relation2,sendsTo_EntityType_Relation2,Supplier,LotNumber,DeliveryDate,Quantity,UOM,StoredIn,SourceName,CreateDate,MeasurementType,Measurement_Description,Measurement_Unit
C0152,FGB INC,Company,,,,,,,,,,,,,,SAP,,Moisture,Moisture Level,PERCENT
P89384,Charleston Plant,Plant,part_of,C0152,Company,,,,,,,,,,,SAP,,pHLevel,pH Level,PH
P41092,Austin Plant,Plant,part_of,C0152,Company,,,,,,,,,,,Oracle,,Carbon_Dioxide,Carbon Dioxide,PERCENT
P71056,Chicago Plant,Plant,part_of,C0152,Company,,,,,,,,,,,SAP,,Alcohol,Alcohol Level,PERCENT
W001,Charleston Warehouse 01,Warehouse,part_of,P89384,Plant,,,,,,,,,,,Manhattan,,Temperature,Temperature,FAHRENHEIT
W002,Charleston Warehouse 02,Warehouse,part_of,P89384,Plant,,,,,,,,,,,Manhattan,,Humidity,Humidity Level,PERCENT
W003,Austin Warehouse 01,Warehouse,part_of,P41092,Plant,,,,,,,,,,,Manhattan,,Humidity,Humidity Level,PERCENT
W004,Chicago Warehouse 01,Warehouse,part_of,P71056,Plant,,,,,,,,,,,Manhattan,,Humidity,Humidity Level,PERCENT
WT01,Water Tank 01,WaterTank,part_of,P89384,Plant,,,,,,,,,,,Manhattan,,,,
SGS01,Charleston Spent Grain Silo 01,Silo,part_of,P89384,Plant,,,,,,,,,,,Manhattan,,,,
WT02,Water Tank (Austin),WaterTank,part_of,P41092,Plant,,,,,,,,,,,Manhattan,,,,
SGS02,Austin Spent Grain Silo,Silo,part_of,P41092,Plant,,,,,,,,,,,Manhattan,,,,
PL01,Production Line 1 (CHS),ProductionLine,part_of,P89384,Plant,,,,,,,,,,,SAP,,,,
PL02,Production Line 2 (CHS),ProductionLine,part_of,P89384,Plant,,,,,,,,,,,SAP,,,,
PL03,Production Line 1 (AUS),ProductionLine,part_of,P41092,Plant,,,,,,,,,,,Oracle,,,,
MM01,Malting Mill 1,Mill,part_of,PL01,ProductionLine,ML01,Masher,,,,,,,,,SAP,,,,
ML01,Mashing & Lautering Unit 1,Masher,part_of,PL01,ProductionLine,B01,Boiler,SGS01,Silo,,,,,,,SAP,,,,
B01,Boiler 1,Boiler,part_of,PL01,ProductionLine,WP01,Whirlpool,,,,,,,,,SAP,,,,
WP01,Whirlpool 1,Whirlpool,part_of,PL01,ProductionLine,CLR01,Cooler,,,,,,,,,SAP,,,,
CLR01,Cooler 1,Cooler,part_of,PL01,ProductionLine,FR01,Fermenter,FR02,Fermenter,,,,,,,SAP,,,,
FR01,Fermenter 1,Fermenter,part_of,PL01,ProductionLine,MV01,MaturingVat,,,,,,,,,SAP,,,,
FR02,Fermenter 2,Fermenter,part_of,PL01,ProductionLine,MV02,MaturingVat,,,,,,,,,SAP,,,,
