ProductID,Name,ProductionDate,ProductionID,ProductType,Product,ProductName,QuantityProduced,UOM,DeliveredTo,SourceName
MD001PL01K50L07012020MD001Keg50Liter,Munich Dunkel Keg 50 Liter (MD001),2020-07-07,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,400,EA,W001,SAP
MD001PL01K50L07012020MD001BrewersSpentGrain,Munich Dunkel Brewers Spent Grain (MD001PL01K50L07012020),2020-07-03,MD001PL01K50L07012020,BrewersSpentGrain,,Brewers Spent Grain,4,T,SGS01,SAP
,,,,,ExportDunkel,Export Dunkel,,,,SAP
,,,,,PillsnerDunkel,Pillsner Dunkel,,,,SAP
MD001PL01K50L07012020MD002Keg50Liter,Munich Dunkel Keg 50 Liter (MD002),2020-07-07,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,400,EA,W001,SAP
MD001PL01K50L07012020MD003Keg50Liter,Munich Dunkel Keg 50 Liter (MD003),2020-07-08,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,401,EA,W002,SAP
MD001PL01K50L07012020MD004Keg50Liter,Munich Dunkel Keg 50 Liter (MD004),2020-07-09,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,402,EA,W003,SAP
MD001PL01K50L07012020MD005Keg50Liter,Munich Dunkel Keg 50 Liter (MD005),2020-07-10,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,403,EA,W004,SAP
MD001PL01K50L07012020MD006Keg50Liter,Munich Dunkel Keg 50 Liter (MD006),2020-07-11,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,404,EA,W005,SAP
MD001PL01K50L07012020MD007Keg50Liter,Munich Dunkel Keg 50 Liter (MD007),2020-07-12,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,405,EA,W006,SAP
MD001PL01K50L07012020MD008Keg50Liter,Munich Dunkel Keg 50 Liter (MD008),2020-07-13,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,406,EA,W007,SAP
MD001PL01K50L07012020MD009Keg50Liter,Munich Dunkel Keg 50 Liter (MD009),2020-07-14,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,407,EA,W008,SAP
MD001PL01K50L07012020MD010Keg50Liter,Munich Dunkel Keg 50 Liter (MD010),2020-07-15,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,408,EA,W009,SAP
MD001PL01K50L07012020MD011Keg50Liter,Munich Dunkel Keg 50 Liter (MD011),2020-07-16,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,409,EA,W010,SAP
MD001PL01K50L07012020MD012Keg50Liter,Munich Dunkel Keg 50 Liter (MD012),2020-07-17,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,410,EA,W011,SAP
MD001PL01K50L07012020MD013Keg50Liter,Munich Dunkel Keg 50 Liter (MD013),2020-07-18,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,411,EA,W012,SAP
MD001PL01K50L07012020MD014Keg50Liter,Munich Dunkel Keg 50 Liter (MD014),2020-07-19,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,412,EA,W013,SAP
MD001PL01K50L07012020MD015Keg50Liter,Munich Dunkel Keg 50 Liter (MD015),2020-07-20,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,413,EA,W014,SAP
MD001PL01K50L07012020MD016Keg50Liter,Munich Dunkel Keg 50 Liter (MD016),2020-07-21,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,414,EA,W015,SAP
MD001PL01K50L07012020MD017Keg50Liter,Munich Dunkel Keg 50 Liter (MD017),2020-07-22,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,415,EA,W016,SAP
MD001PL01K50L07012020MD018Keg50Liter,Munich Dunkel Keg 50 Liter (MD018),2020-07-23,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,416,EA,W017,SAP
MD001PL01K50L07012020MD019Keg50Liter,Munich Dunkel Keg 50 Liter (MD019),2020-07-24,MD001PL01K50L07012020,Keg50Liter,MunichDunkel,Munich Dunkel,417,EA,W018,SAP
