recordId,plantID,sensorManufacturer,sensor_reading_timestamp,sensor_id,sensor_output,surrogate_id,create_date
SD_P89384_1,P89384,Siemens,2020-06-15T00:00:00Z,TS001,37,TS001_2020-06-15T00:00:00Z,2020-06-15T00:00:00Z
SD_P89384_2,P89384,Siemens,2020-06-15T00:30:00Z,TS001,37,TS001_2020-06-15T00:30:00Z,2020-06-15T00:30:00Z
SD_P89384_3,P89384,Siemens,2020-06-15T01:00:00Z,TS001,39,TS001_2020-06-15T01:00:00Z,2020-06-15T01:00:00Z
SD_P89384_4,P89384,Siemens,2020-06-15T01:30:00Z,TS001,37,TS001_2020-06-15T01:30:00Z,2020-06-15T01:30:00Z
SD_P89384_5,P89384,Siemens,2020-06-15T02:00:00Z,TS001,37,TS001_2020-06-15T02:00:00Z,2020-06-15T02:00:00Z
SD_P89384_6,P89384,Siemens,2020-06-15T02:30:00Z,TS001,37,TS001_2020-06-15T02:30:00Z,2020-06-15T02:30:00Z
SD_P89384_7,P89384,Siemens,2020-06-15T03:00:00Z,TS001,37,TS001_2020-06-15T03:00:00Z,2020-06-15T03:00:00Z
SD_P89384_8,P89384,Siemens,2020-06-15T03:30:00Z,TS001,38,TS001_2020-06-15T03:30:00Z,2020-06-15T03:30:00Z
SD_P89384_9,P89384,Siemens,2020-06-15T04:00:00Z,TS001,39,TS001_2020-06-15T04:00:00Z,2020-06-15T04:00:00Z
SD_P89384_10,P89384,Siemens,2020-06-15T04:30:00Z,TS001,37,TS001_2020-06-15T04:30:00Z,2020-06-15T04:30:00Z
SD_P89384_11,P89384,Siemens,2020-06-15T05:00:00Z,TS001,38,TS001_2020-06-15T05:00:00Z,2020-06-15T05:00:00Z
SD_P89384_12,P89384,Siemens,2020-06-15T05:30:00Z,TS001,38,TS001_2020-06-15T05:30:00Z,2020-06-15T05:30:00Z
SD_P89384_13,P89384,Siemens,2020-06-15T06:00:00Z,TS001,37,TS001_2020-06-15T06:00:00Z,2020-06-15T06:00:00Z
SD_P89384_14,P89384,Siemens,2020-06-15T06:30:00Z,TS001,37,TS001_2020-06-15T06:30:00Z,2020-06-15T06:30:00Z
SD_P89384_15,P89384,Siemens,2020-06-15T07:00:00Z,TS001,39,TS001_2020-06-15T07:00:00Z,2020-06-15T07:00:00Z
SD_P89384_16,P89384,Siemens,2020-06-15T07:30:00Z,TS001,39,TS001_2020-06-15T07:30:00Z,2020-06-15T07:30:00Z
SD_P89384_17,P89384,Siemens,2020-06-15T08:00:00Z,TS001,37,TS001_2020-06-15T08:00:00Z,2020-06-15T08:00:00Z
SD_P89384_18,P89384,Siemens,2020-06-15T08:30:00Z,TS001,39,TS001_2020-06-15T08:30:00Z,2020-06-15T08:30:00Z
SD_P89384_19,P89384,Siemens,2020-06-15T09:00:00Z,TS001,37,TS001_2020-06-15T09:00:00Z,2020-06-15T09:00:00Z
SD_P89384_20,P89384,Siemens,2020-06-15T09:30:00Z,TS001,38,TS001_2020-06-15T09:30:00Z,2020-06-15T09:30:00Z
SD_P89384_21,P89384,Siemens,2020-06-15T10:00:00Z,TS001,37,TS001_2020-06-15T10:00:00Z,2020-06-15T10:00:00Z
SD_P89384_22,P89384,Siemens,2020-06-15T10:30:00Z,TS001,38,TS001_2020-06-15T10:30:00Z,2020-06-15T10:30:00Z
SD_P89384_23,P89384,Siemens,2020-06-15T11:00:00Z,TS001,38,TS001_2020-06-15T11:00:00Z,2020-06-15T11:00:00Z
SD_P89384_24,P89384,Siemens,2020-06-15T11:30:00Z,TS001,37,TS001_2020-06-15T11:30:00Z,2020-06-15T11:30:00Z
SD_P89384_25,P89384,Siemens,2020-06-15T12:00:00Z,TS001,38,TS001_2020-06-15T12:00:00Z,2020-06-15T12:00:00Z
SD_P89384_26,P89384,Siemens,2020-06-15T12:30:00Z,TS001,37,TS001_2020-06-15T12:30:00Z,2020-06-15T12:30:00Z
SD_P89384_27,P89384,Siemens,2020-06-15T13:00:00Z,TS001,38,TS001_2020-06-15T13:00:00Z,2020-06-15T13:00:00Z
SD_P89384_28,P89384,Siemens,2020-06-15T13:30:00Z,TS001,37,TS001_2020-06-15T13:30:00Z,2020-06-15T13:30:00Z
SD_P89384_29,P89384,Siemens,2020-06-15T14:00:00Z,TS001,39,TS001_2020-06-15T14:00:00Z,2020-06-15T14:00:00Z
SD_P89384_30,P89384,Siemens,2020-06-15T14:30:00Z,TS001,39,TS001_2020-06-15T14:30:00Z,2020-06-15T14:30:00Z
SD_P89384_31,P89384,Siemens,2020-06-15T15:00:00Z,TS001,39,TS001_2020-06-15T15:00:00Z,2020-06-15T15:00:00Z
SD_P89384_32,P89384,Siemens,2020-06-15T15:30:00Z,TS001,39,TS001_2020-06-15T15:30:00Z,2020-06-15T15:30:00Z
SD_P89384_33,P89384,Siemens,2020-06-15T16:00:00Z,TS001,39,TS001_2020-06-15T16:00:00Z,2020-06-15T16:00:00Z
SD_P89384_34,P89384,Siemens,2020-06-15T16:30:00Z,TS001,38,TS001_2020-06-15T16:30:00Z,2020-06-15T16:30:00Z
SD_P89384_35,P89384,Siemens,2020-06-15T17:00:00Z,TS001,38,TS001_2020-06-15T17:00:00Z,2020-06-15T17:00:00Z
SD_P89384_36,P89384,Siemens,2020-06-15T17:30:00Z,TS001,39,TS001_2020-06-15T17:30:00Z,2020-06-15T17:30:00Z
SD_P89384_37,P89384,Siemens,2020-06-15T18:00:00Z,TS001,37,TS001_2020-06-15T18:00:00Z,2020-06-15T18:00:00Z
SD_P89384_38,P89384,Siemens,2020-06-15T18:30:00Z,TS001,39,TS001_2020-06-15T18:30:00Z,2020-06-15T18:30:00Z
SD_P89384_39,P89384,Siemens,2020-06-15T19:00:00Z,TS001,38,TS001_2020-06-15T19:00:00Z,2020-06-15T19:00:00Z
SD_P89384_40,P89384,Siemens,2020-06-15T19:30:00Z,TS001,37,TS001_2020-06-15T19:30:00Z,2020-06-15T19:30:00Z
SD_P89384_41,P89384,Siemens,2020-06-15T20:00:00Z,TS001,37,TS001_2020-06-15T20:00:00Z,2020-06-15T20:00:00Z
SD_P89384_42,P89384,Siemens,2020-06-15T20:30:00Z,TS001,38,TS001_2020-06-15T20:30:00Z,2020-06-15T20:30:00Z
SD_P89384_43,P89384,Siemens,2020-06-15T21:00:00Z,TS001,38,TS001_2020-06-15T21:00:00Z,2020-06-15T21:00:00Z
SD_P89384_44,P89384,Siemens,2020-06-15T21:30:00Z,TS001,37,TS001_2020-06-15T21:30:00Z,2020-06-15T21:30:00Z
SD_P89384_45,P89384,Siemens,2020-06-15T22:00:00Z,TS001,38,TS001_2020-06-15T22:00:00Z,2020-06-15T22:00:00Z
SD_P89384_46,P89384,Siemens,2020-06-15T22:30:00Z,TS001,37,TS001_2020-06-15T22:30:00Z,2020-06-15T22:30:00Z
SD_P89384_47,P89384,Siemens,2020-06-15T23:00:00Z,TS001,38,TS001_2020-06-15T23:00:00Z,2020-06-15T23:00:00Z
SD_P89384_48,P89384,Siemens,2020-06-15T23:30:00Z,TS001,39,TS001_2020-06-15T23:30:00Z,2020-06-15T23:30:00Z
SD_P89384_49,P89384,Siemens,2020-06-16T00:00:00Z,TS001,39,TS001_2020-06-16T00:00:00Z,2020-06-16T00:00:00Z
SD_P89384_50,P89384,Siemens,2020-06-16T00:30:00Z,TS001,39,TS001_2020-06-16T00:30:00Z,2020-06-16T00:30:00Z
SD_P89384_51,P89384,Siemens,2020-06-16T01:00:00Z,TS001,39,TS001_2020-06-16T01:00:00Z,2020-06-16T01:00:00Z
SD_P89384_52,P89384,Siemens,2020-06-16T01:30:00Z,TS001,38,TS001_2020-06-16T01:30:00Z,2020-06-16T01:30:00Z
SD_P89384_53,P89384,Siemens,2020-06-16T02:00:00Z,TS001,38,TS001_2020-06-16T02:00:00Z,2020-06-16T02:00:00Z
SD_P89384_54,P89384,Siemens,2020-06-16T02:30:00Z,TS001,38,TS001_2020-06-16T02:30:00Z,2020-06-16T02:30:00Z
SD_P89384_55,P89384,Siemens,2020-06-16T03:00:00Z,TS001,37,TS001_2020-06-16T03:00:00Z,2020-06-16T03:00:00Z
SD_P89384_56,P89384,Siemens,2020-06-16T03:30:00Z,TS001,39,TS001_2020-06-16T03:30:00Z,2020-06-16T03:30:00Z
SD_P89384_57,P89384,Siemens,2020-06-16T04:00:00Z,TS001,38,TS001_2020-06-16T04:00:00Z,2020-06-16T04:00:00Z
SD_P89384_58,P89384,Siemens,2020-06-16T04:30:00Z,TS001,37,TS001_2020-06-16T04:30:00Z,2020-06-16T04:30:00Z
SD_P89384_59,P89384,Siemens,2020-06-16T05:00:00Z,TS001,38,TS001_2020-06-16T05:00:00Z,2020-06-16T05:00:00Z
SD_P89384_60,P89384,Siemens,2020-06-16T05:30:00Z,TS001,38,TS001_2020-06-16T05:30:00Z,2020-06-16T05:30:00Z
SD_P89384_61,P89384,Siemens,2020-06-16T06:00:00Z,TS001,37,TS001_2020-06-16T06:00:00Z,2020-06-16T06:00:00Z
SD_P89384_62,P89384,Siemens,2020-06-16T06:30:00Z,TS001,37,TS001_2020-06-16T06:30:00Z,2020-06-16T06:30:00Z
SD_P89384_63,P89384,Siemens,2020-06-16T07:00:00Z,TS001,38,TS001_2020-06-16T07:00:00Z,2020-06-16T07:00:00Z
SD_P89384_64,P89384,Siemens,2020-06-16T07:30:00Z,TS001,39,TS001_2020-06-16T07:30:00Z,2020-06-16T07:30:00Z
SD_P89384_65,P89384,Siemens,2020-06-16T08:00:00Z,TS001,39,TS001_2020-06-16T08:00:00Z,2020-06-16T08:00:00Z
SD_P89384_66,P89384,Siemens,2020-06-16T08:30:00Z,TS001,39,TS001_2020-06-16T08:30:00Z,2020-06-16T08:30:00Z
SD_P89384_67,P89384,Siemens,2020-06-16T09:00:00Z,TS001,39,TS001_2020-06-16T09:00:00Z,2020-06-16T09:00:00Z
